Time	Step	go_to_goal_area
1562522146.554953	33	0.000000
1562522146.554953	33	0.000000
1562522147.054991	34	0.000000
1562522147.054991	34	0.000000
1562522147.589886	35	0.000000
1562522147.589886	35	0.000000
1562522148.059596	36	0.000000
1562522148.059596	36	0.000000
1562522148.556108	37	0.000000
1562522148.556108	37	0.000000
1562522149.127507	38	0.000000
1562522149.127507	38	0.000000
1562522149.574316	39	0.000000
1562522149.574316	39	0.000000
1562522150.074854	40	0.000000
1562522150.074854	40	0.000000
1562522150.624966	41	0.000000
1562522150.624966	41	0.000000
1562522151.221633	42	0.000000
1562522151.221633	42	0.000000
1562522151.589396	43	0.000000
1562522151.589396	43	0.000000
1562522152.088665	44	0.000000
1562522152.088665	44	0.000000
1562522152.626293	45	0.000000
1562522152.626293	45	0.000000
1562522153.116016	46	0.000000
1562522153.116016	46	0.000000
1562522153.621209	47	0.000000
1562522153.621209	47	0.000000
1562522154.136963	48	0.000000
1562522154.136963	48	0.000000
1562522154.622108	49	0.000000
1562522154.622108	49	0.000000
1562522155.129955	50	0.000000
1562522155.129955	50	0.000000
1562522155.637640	51	0.000000
1562522155.637640	51	0.000000
1562522156.126185	52	0.000000
1562522156.126185	52	0.000000
1562522156.626690	53	0.000000
1562522156.626690	53	0.000000
1562522157.146548	54	0.000000
1562522157.146548	54	0.000000
1562522157.673404	55	0.000000
1562522157.673404	55	0.000000
1562522158.182779	56	0.000000
1562522158.182779	56	0.000000
1562522158.681246	57	0.000000
1562522158.681246	57	0.000000
1562522159.143468	58	0.000000
1562522159.143468	58	0.000000
1562522159.669956	59	0.000000
1562522159.669956	59	0.000000
1562522160.178702	60	0.000000
1562522160.178702	60	0.000000
1562522160.671164	61	0.000000
1562522160.671164	61	0.000000
1562522161.171788	62	0.000000
1562522161.171788	62	0.000000
1562522161.680511	63	0.000000
1562522161.680511	63	0.000000
1562522162.206884	64	0.000000
1562522162.206884	64	0.000000
1562522162.675345	65	0.000000
1562522162.675345	65	0.000000
1562522163.184480	66	0.000000
1562522163.184480	66	0.000000
1562522163.724765	67	0.000000
1562522163.724765	67	0.000000
1562522164.216917	68	0.000000
1562522164.216917	68	0.000000
1562522164.724105	69	0.000000
1562522164.724105	69	0.000000
1562522165.226550	70	0.000000
1562522165.226550	70	0.000000
1562522165.758257	71	0.000000
1562522165.758257	71	0.000000
1562522166.240507	72	0.000000
1562522166.240507	72	0.000000
1562522166.774062	73	0.000000
1562522166.774062	73	0.000000
1562522167.558982	74	0.000000
1562522167.558982	74	0.000000
1562522168.056653	75	0.000000
1562522168.056653	75	0.000000
1562522168.515571	76	0.000000
1562522168.515571	76	0.000000
1562522168.924323	77	0.000000
1562522168.924323	77	0.000000
1562522169.310326	78	0.000000
1562522169.310326	78	0.000000
1562522169.913105	79	0.000000
1562522169.913105	79	0.000000
1562522170.335108	80	0.000000
1562522170.335108	80	0.000000
1562522170.769260	81	0.000000
1562522170.769260	81	0.000000
1562522171.294888	82	0.000000
1562522171.294888	82	0.000000
1562522171.823758	83	0.000000
1562522171.823758	83	0.000000
1562522172.316862	84	0.000000
1562522172.316862	84	0.000000
1562522172.792319	85	0.000000
1562522172.792319	85	0.000000
1562522173.312829	86	0.000000
1562522173.312829	86	0.000000
1562522173.823833	87	0.000000
1562522173.823833	87	0.000000
1562522174.297454	88	0.000000
1562522174.297454	88	0.000000
1562522174.806619	89	0.000000
1562522174.806619	89	0.000000
1562522175.338627	90	0.000000
1562522175.338627	90	0.000000
1562522175.840401	91	0.000000
1562522175.840401	91	0.000000
1562522176.354519	92	0.000000
1562522176.354519	92	0.000000
1562522176.835679	93	0.000000
1562522176.835679	93	0.000000
1562522177.347351	94	0.000000
1562522177.347351	94	0.000000
1562522177.885678	95	0.000000
1562522177.885678	95	0.000000
1562522178.336761	96	0.000000
1562522178.336761	96	0.000000
1562522178.876426	97	0.000000
1562522178.876426	97	0.000000
1562522179.369262	98	0.000000
1562522179.369262	98	0.000000
1562522179.856677	99	0.000000
1562522179.856677	99	0.000000
1562522180.345388	100	0.000000
1562522180.345388	100	0.000000
1562522180.880335	101	0.000000
1562522180.880335	101	0.000000
1562522181.359046	102	0.000000
1562522181.359046	102	0.000000
1562522181.849561	103	0.000000
1562522181.849561	103	0.000000
1562522182.415317	104	0.000000
1562522182.415317	104	0.000000
1562522182.895757	105	0.000000
1562522182.895757	105	0.000000
1562522183.413104	106	0.000000
1562522183.413104	106	0.000000
1562522183.869808	107	0.000000
1562522183.869808	107	0.000000
1562522184.361094	108	0.000000
1562522184.361094	108	0.000000
1562522184.871206	109	0.000000
1562522184.871206	109	0.000000
1562522185.363337	110	0.000000
1562522185.363337	110	0.000000
1562522185.926299	111	0.000000
1562522185.926299	111	0.000000
1562522186.369642	112	0.000000
1562522186.369642	112	0.000000
1562522186.894386	113	0.000000
1562522186.894386	113	0.000000
1562522187.424180	114	0.000000
1562522187.424180	114	0.000000
1562522187.947476	115	0.000000
1562522187.947476	115	0.000000
1562522188.433557	116	0.000000
1562522188.433557	116	0.000000
1562522188.926052	117	0.000000
1562522188.926052	117	0.000000
1562522189.410382	118	0.000000
1562522189.410382	118	0.000000
1562522189.922465	119	0.000000
1562522189.922465	119	0.000000
1562522190.404410	120	0.000000
1562522190.404410	120	0.000000
1562522190.901518	121	0.000000
1562522190.901518	121	0.000000
1562522191.438860	122	0.000000
1562522191.438860	122	0.000000
1562522191.983108	123	0.000000
1562522191.983108	123	0.000000
1562522192.458959	124	0.000000
1562522192.458959	124	0.000000
1562522192.945128	125	0.000000
1562522192.945128	125	0.000000
1562522193.434024	126	0.000000
1562522193.434024	126	0.000000
1562522193.979418	127	0.000000
1562522193.979418	127	0.000000
1562522194.431566	128	0.000000
1562522194.431566	128	0.000000
1562522194.932833	129	0.000000
1562522194.932833	129	0.000000
1562522195.435934	130	0.000000
1562522195.435934	130	0.000000
1562522195.945457	131	0.000000
1562522195.945457	131	0.000000
1562522196.517546	132	0.000000
1562522196.517546	132	0.000000
1562522196.986218	133	0.000000
1562522196.986218	133	0.000000
1562522197.455080	134	0.000000
1562522197.455080	134	0.000000
1562522198.014187	135	0.000000
1562522198.014187	135	0.000000
1562522198.489467	136	0.000000
1562522198.489467	136	0.000000
1562522198.998526	137	0.000000
1562522198.998526	137	0.000000
1562522199.479107	138	0.000000
1562522199.479107	138	0.000000
1562522199.971253	139	0.000000
1562522199.971253	139	0.000000
1562522200.481187	140	0.000000
1562522200.481187	140	0.000000
1562522200.997520	141	0.000000
1562522200.997520	141	0.000000
1562522201.478004	142	0.000000
1562522201.478004	142	0.000000
1562522202.028032	143	0.000000
1562522202.028032	143	0.000000
1562522202.510741	144	0.000000
1562522202.510741	144	0.000000
1562522203.016548	145	0.000000
1562522203.016548	145	0.000000
1562522203.528320	146	0.000000
1562522203.528320	146	0.000000
1562522204.013737	147	0.000000
1562522204.013737	147	0.000000
1562522204.548718	148	0.000000
1562522204.867139	149	0.000000
1562522204.971901	150	0.000000
1562522205.093427	151	0.000000
